movie_title,year,duration,genre,rating
Men in Black,1997,98 min,"Action, Adventure, Comedy",7.3
Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi",8.6
Rogue One,2016,133 min,"Action, Adventure, Sci-Fi",7.8
The Ballad of Buster Scruggs,2018,133 min,"Comedy, Drama, Musical",7.3
Star Wars: Episode I - The Phantom Menace,1999,136 min,"Action, Adventure, Fantasy",6.5
Moana,I 2016,107 min,"Animation, Adventure, Comedy",7.6
Drive,I 2011,100 min,"Action, Drama",7.8
Ad Astra,2019,123 min,"Adventure, Drama, Mystery",6.5
Casino,1995,178 min,"Crime, Drama",8.2
The Avengers,2012,143 min,"Action, Sci-Fi",8.0
Catch Me If You Can,2002,141 min,"Biography, Crime, Drama",8.1
American History X,1998,119 min,"Crime, Drama",8.5
Sicario,2015,121 min,"Action, Crime, Drama",7.6
Get Out,I 2017,104 min,"Horror, Mystery, Thriller",7.7
Suicide Squad,2016,123 min,"Action, Adventure, Fantasy",5.9
1917,2019,119 min,"Action, Drama, War",8.2
Eternal Sunshine of the Spotless Mind,2004,108 min,"Drama, Romance, Sci-Fi",8.3
La La Land,2016,128 min,"Comedy, Drama, Music",8.0
The Father,I 2020,97 min,"Drama, Mystery",8.2
A Quiet Place,2018,90 min,"Drama, Horror, Sci-Fi",7.5
Hidden Figures,2016,127 min,"Biography, Drama, History",7.8
The Greatest Showman,2017,105 min,"Biography, Drama, Musical",7.5
Harry Potter and the Deathly Hallows: Part 1,2010,146 min,"Adventure, Family, Fantasy",7.7
The Pianist,2002,150 min,"Biography, Drama, Music",8.5
Dunkirk,2017,106 min,"Action, Drama, History",7.8
The Big Short,2015,130 min,"Biography, Comedy, Drama",7.8
Fantastic Mr. Fox,2009,87 min,"Animation, Adventure, Comedy",7.9
Her,2013,126 min,"Drama, Romance, Sci-Fi",8.0
Malèna,2000,108 min,"Drama, Romance, War",7.4
Harry Potter and the Half-Blood Prince,2009,153 min,"Action, Adventure, Family",7.6
The Truman Show,1998,103 min,"Comedy, Drama",8.2
Ratatouille,2007,111 min,"Animation, Adventure, Comedy",8.1
Hook,1991,142 min,"Adventure, Comedy, Family",6.8
The Usual Suspects,1995,106 min,"Crime, Drama, Mystery",8.5
Braveheart,1995,178 min,"Biography, Drama, History",8.3
Zootopia,2016,108 min,"Animation, Adventure, Comedy",8.0
Batman Begins,2005,140 min,"Action, Crime, Drama",8.2
Bridesmaids,I 2011,125 min,"Comedy, Romance",6.8
Moneyball,2011,133 min,"Biography, Drama, Sport",7.6
"Three Billboards Outside Ebbing, Missouri",2017,115 min,"Comedy, Crime, Drama",8.1
Tropic Thunder,2008,107 min,"Action, Comedy, War",7.1
Mulholland Dr.,2001,147 min,"Drama, Mystery, Thriller",7.9
Ex Machina,2014,108 min,"Drama, Sci-Fi, Thriller",7.7
The Help,2011,146 min,Drama,8.1
Jagten,2012,115 min,Drama,8.3
Jojo Rabbit,2019,108 min,"Comedy, Drama, War",7.9
Mulan,2020,115 min,"Action, Adventure, Drama",5.7
Finding Nemo,2003,100 min,"Animation, Adventure, Comedy",8.2
Toy Story,1995,81 min,"Animation, Adventure, Comedy",8.3
Dances with Wolves,1990,181 min,"Adventure, Drama, Western",8.0
Romeo + Juliet,1996,120 min,"Drama, Romance",6.7
Cast Away,2000,143 min,"Adventure, Drama, Romance",7.8
Apocalypto,2006,139 min,"Action, Adventure, Drama",7.8
Green Book,2018,130 min,"Biography, Comedy, Drama",8.2
Independence Day,1996,145 min,"Action, Adventure, Sci-Fi",7.0
Les Misérables,2012,158 min,"Drama, Musical, Romance",7.5
Joy,I 2015,124 min,"Biography, Drama",6.6
The Hateful Eight,2015,168 min,"Crime, Drama, Mystery",7.8
Basic Instinct,1992,127 min,"Drama, Mystery, Thriller",7.0
American Hustle,2013,138 min,"Crime, Drama",7.2
Star Wars: Episode III - Revenge of the Sith,2005,140 min,"Action, Adventure, Fantasy",7.6
Ready Player One,2018,140 min,"Action, Adventure, Sci-Fi",7.4
There Will Be Blood,2007,158 min,Drama,8.2
A Beautiful Mind,2001,135 min,"Biography, Drama",8.2
The Great Gatsby,2013,143 min,"Drama, Romance",7.2
The Godfather Part III,1990,162 min,"Crime, Drama",7.6
Inside Out,I 2015,95 min,"Animation, Adventure, Comedy",8.1
Black Panther,2018,134 min,"Action, Adventure, Sci-Fi",7.3
Baby Driver,2017,113 min,"Action, Crime, Drama",7.6
Star Wars: Episode VIII - The Last Jedi,2017,152 min,"Action, Adventure, Fantasy",6.9
Star Wars: Episode VII - The Force Awakens,2015,138 min,"Action, Adventure, Sci-Fi",7.8
Hell or High Water,II 2016,102 min,"Crime, Drama, Thriller",7.6
Charlie and the Chocolate Factory,2005,115 min,"Adventure, Comedy, Family",6.7
The Martian,2015,144 min,"Adventure, Drama, Sci-Fi",8.0
Unforgiven,1992,130 min,"Drama, Western",8.2
The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama",8.8
Vicky Cristina Barcelona,2008,96 min,"Comedy, Drama, Romance",7.1
Lone Survivor,2013,121 min,"Action, Biography, Drama",7.5
Solo: A Star Wars Story,2018,135 min,"Action, Adventure, Sci-Fi",6.9
Bohemian Rhapsody,2018,134 min,"Biography, Drama, Music",7.9
Moonrise Kingdom,2012,94 min,"Comedy, Drama, Family",7.8
Logan,2017,137 min,"Action, Drama, Sci-Fi",8.1
Alice in Wonderland,I 2010,108 min,"Adventure, Family, Fantasy",6.4
The Sixth Sense,1999,107 min,"Drama, Mystery, Thriller",8.2
The Curious Case of Benjamin Button,2008,166 min,"Drama, Fantasy, Romance",7.8
Cape Fear,1991,128 min,"Crime, Thriller",7.3
Shrek,2001,90 min,"Animation, Adventure, Comedy",7.9
The Incredibles,2004,115 min,"Animation, Action, Adventure",8.0
Total Recall,1990,113 min,"Action, Adventure, Sci-Fi",7.5
The Hobbit: An Unexpected Journey,2012,169 min,"Adventure, Fantasy",7.8
Star Trek,2009,127 min,"Action, Adventure, Sci-Fi",7.9
The Town,2010,125 min,"Crime, Drama, Thriller",7.5
Legends of the Fall,1994,133 min,"Drama, Romance, War",7.5
The Favourite,2018,119 min,"Biography, Comedy, Drama",7.5
The Patriot,2000,165 min,"Action, Drama, History",7.2
Coco,I 2017,105 min,"Animation, Adventure, Comedy",8.4
Trainspotting,1996,93 min,Drama,8.1
The Jungle Book,2016,106 min,"Adventure, Drama, Family",7.4
Juno,2007,96 min,"Comedy, Drama",7.5
The Lobster,2015,119 min,"Drama, Romance, Sci-Fi",7.1
Boogie Nights,1997,155 min,Drama,7.9
Bram Stoker's Dracula,1992,128 min,"Drama, Fantasy, Horror",7.4
Traffic,2000,147 min,"Crime, Drama, Thriller",7.6
Home Alone,1990,103 min,"Comedy, Family",7.7
Atonement,2007,123 min,"Drama, Mystery, Romance",7.8
How to Train Your Dragon,2010,98 min,"Animation, Action, Adventure",8.1
The Social Network,2010,120 min,"Biography, Drama",7.8
La vita è bella,1997,116 min,"Comedy, Drama, Romance",8.6
3:10 to Yuma,2007,122 min,"Action, Crime, Drama",7.7
Speed,1994,116 min,"Action, Adventure, Thriller",7.3
Into the Wild,2007,148 min,"Adventure, Biography, Drama",8.1
American Sniper,2014,133 min,"Action, Biography, Drama",7.3
Primal Fear,1996,129 min,"Crime, Drama, Mystery",7.7
Up,2009,96 min,"Animation, Adventure, Comedy",8.3
"Monsters, Inc.",2001,92 min,"Animation, Adventure, Comedy",8.1
Pretty Woman,1990,119 min,"Comedy, Romance",7.1
Thirteen,2003,100 min,Drama,6.8
Frozen,I 2013,102 min,"Animation, Adventure, Comedy",7.4
Star Wars: Episode II - Attack of the Clones,2002,142 min,"Action, Adventure, Fantasy",6.6
Room,I 2015,118 min,"Drama, Thriller",8.1
Hercules,1997,93 min,"Animation, Adventure, Comedy",7.3
Lo imposible,2012,114 min,"Adventure, Drama, History",7.5
Iron Man Three,2013,130 min,"Action, Adventure, Sci-Fi",7.1
Pearl Harbor,2001,183 min,"Action, Drama, History",6.2
The Judge,2014,141 min,"Crime, Drama",7.4
Aladdin,1992,90 min,"Animation, Adventure, Comedy",8.0
Spider-Man 2,2004,127 min,"Action, Adventure, Sci-Fi",7.4
My Cousin Vinny,1992,120 min,"Comedy, Crime",7.6
Incendies,2010,131 min,"Drama, Mystery",8.3
Tangled,2010,100 min,"Animation, Adventure, Comedy",7.7
Face/Off,1997,138 min,"Action, Crime, Sci-Fi",7.3
Nightcrawler,2014,117 min,"Crime, Drama, Thriller",7.8
Scent of a Woman,1992,156 min,Drama,8.0
Fargo,1996,98 min,"Crime, Thriller",8.1
Lady Bird,2017,94 min,"Comedy, Drama",7.4
The Revenant,I 2015,156 min,"Action, Adventure, Drama",8.0
American Gangster,2007,157 min,"Biography, Crime, Drama",7.8
Spotlight,I 2015,129 min,"Biography, Crime, Drama",8.1
The Devil Wears Prada,2006,109 min,"Comedy, Drama",6.9
The Boss Baby,2017,97 min,"Animation, Adventure, Comedy",6.3
Thelma & Louise,1991,130 min,"Adventure, Crime, Drama",7.5
Kong: Skull Island,2017,118 min,"Action, Adventure, Fantasy",6.6
Fantastic Beasts and Where to Find Them,2016,132 min,"Adventure, Family, Fantasy",7.2
The Imitation Game,2014,114 min,"Biography, Drama, Thriller",8.0
Beauty and the Beast,1991,84 min,"Animation, Family, Fantasy",8.0
The Mask,1994,101 min,"Action, Comedy, Crime",6.9
Closer,I 2004,104 min,"Drama, Romance",7.2
WALL·E,2008,98 min,"Animation, Adventure, Family",8.4
Skyfall,2012,143 min,"Action, Adventure, Thriller",7.8
A Few Good Men,1992,138 min,"Drama, Thriller",7.7
Unfaithful,2002,124 min,"Drama, Romance, Thriller",6.7
Transformers: Dark of the Moon,2011,154 min,"Action, Adventure, Sci-Fi",6.2
Coraline,2009,100 min,"Animation, Drama, Family",7.7
The Rock,1996,136 min,"Action, Adventure, Thriller",7.4
Armageddon,1998,151 min,"Action, Adventure, Sci-Fi",6.7
"Girl, Interrupted",1999,127 min,"Biography, Drama",7.3
Incredibles 2,2018,118 min,"Animation, Action, Adventure",7.6
Little Miss Sunshine,2006,101 min,"Comedy, Drama",7.8
Flight,I 2012,138 min,"Drama, Thriller",7.3
Twister,I 1996,113 min,"Action, Adventure, Thriller",6.4
True Grit,2010,110 min,"Drama, Western",7.6
Wanted,2008,110 min,"Action, Crime, Thriller",6.7
Silver Linings Playbook,2012,122 min,"Comedy, Drama, Romance",7.7
Passengers,I 2016,116 min,"Drama, Romance, Sci-Fi",7.0
Manchester by the Sea,2016,137 min,Drama,7.8
Nocturnal Animals,2016,116 min,"Drama, Thriller",7.5
The Lego Movie,2014,100 min,"Animation, Action, Adventure",7.7
In Bruges,2008,107 min,"Comedy, Crime, Drama",7.9
The Shape of Water,2017,123 min,"Drama, Fantasy, Romance",7.3
